"esco_level_1","contract","num_annunci"
"Skilled agricultural, forestry and fishery workers","Permanent","33"
"Technicians and associate professionals","Permanent","9230"
"Elementary occupations","Permanent","3127"
"Clerical support workers","Internship","2367"
"Elementary occupations","Internship","1393"
"Craft and related trades workers","Internship","760"
"Plant and machine operators, and assemblers","Self Employment","1087"
"Armed forces occupations","Permanent","2"
"Plant and machine operators, and assemblers","Permanent","1781"
"Skilled agricultural, forestry and fishery workers","Temporary","47"
"Technicians and associate professionals","Self Employment","6889"
"Craft and related trades workers","Permanent","4366"
"Service and sales workers","Internship","1711"
"Professionals","Temporary","17615"
"Service and sales workers","Permanent","3214"
"Service and sales workers","Self Employment","2098"
"Armed forces occupations","Self Employment","1"
"Plant and machine operators, and assemblers","Temporary","4790"
"Professionals","Permanent","12703"
"Managers","Internship","635"
"Managers","Self Employment","1859"
"Plant and machine operators, and assemblers","Internship","397"
"Professionals","Self Employment","8116"
"Technicians and associate professionals","Temporary","15454"
"Craft and related trades workers","Temporary","9172"
"Professionals","Internship","5236"
"Service and sales workers","Temporary","8921"
"Skilled agricultural, forestry and fishery workers","Internship","8"
"Managers","Temporary","4579"
"Clerical support workers","Temporary","10736"
"Armed forces occupations","Temporary","2"
"Skilled agricultural, forestry and fishery workers","Self Employment","22"
"Elementary occupations","Temporary","12820"
"Elementary occupations","Self Employment","2795"
"Clerical support workers","Self Employment","2653"
"Clerical support workers","Permanent","4802"
"Managers","Permanent","3173"
"Technicians and associate professionals","Internship","3051"
"Craft and related trades workers","Self Employment","2254"
